,Start_interval,Lactose,Whey central,Whey west
387,2016-09-26,0.3177339901477833,0.305,0.32625
388,2016-10-03,0.3177339901477833,0.31,0.32625
389,2016-10-10,0.3201970443349754,0.3125,0.335
390,2016-10-17,0.33990147783251234,0.33,0.355
391,2016-10-24,0.33990147783251234,0.3275,0.355
392,2016-10-31,0.3448275862068966,0.335,0.365
393,2016-11-07,0.3472906403940887,0.345,0.37
394,2016-11-14,0.3472906403940887,0.345,0.375
395,2016-11-21,0.3472906403940887,0.35,0.3775
396,2016-11-28,0.3472906403940887,0.35,0.3775
397,2016-12-05,0.3472906403940887,0.3625,0.38
398,2016-12-12,0.3497536945812808,0.38125,0.4025
399,2016-12-19,0.35714285714285715,0.38625,0.4125
400,2016-12-26,0.36453201970443355,0.38875,0.41375
401,2015-01-01,0.374384236453202,0.5625,0.49
402,2015-01-05,0.374384236453202,0.56,0.49
403,2015-01-12,0.32512315270935965,0.54,0.48
404,2015-01-19,0.3152709359605912,0.535,0.48
405,2015-01-26,0.3054187192118227,0.525,0.46
406,2015-02-02,0.3054187192118227,0.515,0.46
407,2015-02-09,0.3054187192118227,0.51,0.455
408,2015-02-16,0.2857142857142857,0.48,0.45
409,2015-02-23,0.2733990147783252,0.465,0.45
410,2015-03-02,0.26477832512315275,0.455,0.45
411,2015-03-09,0.26108374384236455,0.45,0.445
412,2015-03-16,0.24630541871921185,0.445,0.445
413,2015-03-23,0.23645320197044337,0.4425,0.445
414,2015-03-30,0.23399014778325125,0.4325,0.4425
415,2015-04-06,0.23399014778325125,0.4325,0.4425
416,2015-04-13,0.23399014778325125,0.43,0.4425
417,2015-04-20,0.23399014778325125,0.425,0.44
418,2015-04-27,0.2327586206896552,0.42,0.44
419,2015-05-04,0.2327586206896552,0.42,0.44
420,2015-05-11,0.2327586206896552,0.42,0.435
421,2015-05-18,0.23152709359605914,0.42,0.43
422,2015-05-25,0.23152709359605914,0.4075,0.425
423,2015-06-01,0.23152709359605914,0.4,0.425
424,2015-06-08,0.22167487684729067,0.4,0.425
425,2015-06-15,0.21674876847290642,0.38,0.42
426,2015-06-22,0.20935960591133007,0.37,0.415
427,2015-06-29,0.20935960591133007,0.365,0.41
428,2015-07-06,0.20935960591133007,0.3625,0.405
429,2015-07-13,0.1970443349753695,0.355,0.405
430,2015-07-20,0.1970443349753695,0.3425,0.39
431,2015-07-27,0.19211822660098524,0.33,0.39
432,2015-08-03,0.19211822660098524,0.3025,0.3825
433,2015-08-10,0.19211822660098524,0.295,0.325
434,2015-08-17,0.187192118226601,0.24,0.3
435,2015-08-24,0.187192118226601,0.23,0.28
436,2015-08-31,0.187192118226601,0.225,0.25
437,2015-09-07,0.187192118226601,0.22,0.24
438,2015-09-14,0.187192118226601,0.21,0.22
439,2015-09-21,0.187192118226601,0.2,0.215
440,2015-09-28,0.187192118226601,0.1975,0.21
441,2015-10-05,0.18226600985221678,0.195,0.2075
442,2015-10-12,0.18226600985221678,0.2,0.2075
443,2015-10-19,0.18226600985221678,0.22,0.21
444,2015-10-26,0.18226600985221678,0.2,0.21
445,2015-11-02,0.18226600985221678,0.205,0.225
446,2015-11-09,0.18226600985221678,0.2075,0.225
447,2015-11-16,0.18226600985221678,0.2125,0.2325
448,2015-11-23,0.18226600985221678,0.21125,0.2325
449,2015-11-30,0.18226600985221678,0.21125,0.2325
450,2015-12-07,0.1847290640394089,0.21125,0.2375
451,2015-12-14,0.187192118226601,0.21125,0.2375
452,2015-12-21,0.187192118226601,0.21625,0.24
453,2014-01-01,0.6256157635467982,0.56,0.58875
454,2014-01-06,0.6256157635467982,0.5625,0.58875
455,2014-01-13,0.5714285714285714,0.5675,0.60375
456,2014-01-20,0.5862068965517242,0.5775,0.60625
457,2014-01-27,0.5862068965517242,0.58,0.6075
458,2014-02-03,0.5862068965517242,0.585,0.61
459,2014-02-10,0.5862068965517242,0.5875,0.6125
460,2014-02-17,0.5862068965517242,0.6075,0.615
461,2014-02-24,0.5862068965517242,0.61125,0.625
462,2014-03-03,0.5862068965517242,0.61125,0.62875
463,2014-03-10,0.5862068965517242,0.615,0.63125
464,2014-03-17,0.5862068965517242,0.6225,0.645
465,2014-03-24,0.5911330049261084,0.62875,0.64875
466,2014-03-31,0.5911330049261084,0.63,0.645
467,2014-04-07,0.6059113300492611,0.635,0.64625
468,2014-04-14,0.6133004926108375,0.6375,0.6475
469,2014-04-21,0.6133004926108375,0.65,0.65375
470,2014-04-28,0.6034482758620691,0.65375,0.65375
471,2014-05-05,0.6034482758620691,0.6575,0.65875
